CourseID,Academic Year,Term,FacultyID,Overall_course_rating,Overall_Instructor_rating,Most_and_least_valuable_sessions_and_topics,Course_feedback,Instructor_Feedback
Wag_Crs0031Sec001,2023,3,FAC_0026,5,5,I found the capital budgeting part of the class most interesting because we learn how investment decisions are made. Everything taught throughout the class was extremely useful and the course was rich with quality material. This course should be required for almost all students at the School. ,I think the Professor is incredibly smart and cares deeply for his students. He makes himself available and is a tremendously kind resource. He is well-versed in what he teaches and his lived experiences make the course even more interesting. I plan on taking another course with him in the fall. ,The Professor  is a fantastic professor. 
Wag_Crs0031Sec001,2023,3,FAC_0026,4,5,I like the Disney Case most since I am a Disney fan and it directly shows the difference in governance between US and Japan.,I like this class since it give me a general idea about corporate finance.,D/A
Wag_Crs0031Sec001,2023,3,FAC_0026,5,5,All of the lessons were very valuable. It was difficult to catch up without a background in finance but the professor was always accessible. ,The Professor is hilarious and a really nice guy. Thank you for a good semester. ,I think regularly scheduled office hours are preferable to office hours by appointment. Aside from that Professor is great. 
Wag_Crs0032Sec001,2023,3,FAC_0026,5,5,This was a great class that covered a very challenging topic (tax credits) across two very important subject areas. I'd appreciate even more of a focus on renewable energy in the coming years!,One of the better classes for the 7-week format!,I really loved the split lecture/discussion format - the only small recommendation I'd make is to try to lower the word count on the slides a bit to make it a bit more digestible for students.
Wag_Crs0006Sec001,2023,3,FAC_0006,5,5,I found the anti-trust week to be the least valuable because it seemed the least related to healthcare. I liked the Medicare Fraud and Abuse section.,I learned the truth about HIPAA!,Engaging lectures
Wag_Crs0006Sec001,2023,3,FAC_0006,4,4,"I liked the privacy law discussions and the topic of antitrust
Nothing stands out to me as ""missing"" from the course topics","I like that each assignment was unrelated to the previous one vs. one large assignment due at the end of the semester
","quick grading on assignments was appreciated

"
Wag_Crs0051Sec001,2023,3,FAC_0029,5,5,All of the topics built on each other and were very valuable. ,I really enjoyed this course and it has helped shape my understanding of how to approach and design programs in addition to evaluating them. ,D/A
Wag_Crs0051Sec001,2023,3,FAC_0029,5,5,Everything was super helpful,This course will definitely be helpful in my career.,Prof is a fantastic instructor and I learned a lot from her lectures. Her course materials are very well put together. It is clear that she continuously updates her materials and delivery (unlike some other professors who operate on autopilot). She's a keeper and will encourage other students to take her class.
Wag_Crs0053Sec001,2023,3,FAC_0030,5,4,All topics are very interesting and very important to understand current health policy issues in the US.,I don't know why the professor start every session on 5:00 pm which is five minutes later than the announced start time.,It would be better if you start the session on time. And I think you should better manage the time.
Wag_Crs0054Sec001,2023,3,FAC_0030,5,5,all good,no,great prof! :)
